1
DHQD 	['Lactococcus_lactis_MG1363 3dhq_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 3dhsk_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
TPI 	['Lactococcus_lactis_MG1363 dhap_c'] 	['Lactococcus_lactis_MG1363 g3p_c']
PSCVT 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c'] 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TKT1 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c']
HCO3E 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 co2_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 hco3_c']


7
DHQS 	['Lactococcus_lactis_MG1363 2dda7p_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 3dhq_c']
DAHPS 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 2dda7p_c']
FBA 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 fdp_c']
SHK3D 	['Lactococcus_lactis_MG1363 nadph_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 3dhsk_c'] 	['Lactococcus_lactis_MG1363 nadp_c', 'Lactococcus_lactis_MG1363 skm_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
ALKP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 dhap_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 dha_c']
PSCVT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c'] 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c']
GAPD 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c']
PGK 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 adp_c'] 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 3pg_c']
TKT2 	['Lactococcus_lactis_MG1363 f6p_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c']
SHKK 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 skm_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TPI 	['Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 dhap_c']
NADN 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 nad_c'] 	['Lactococcus_lactis_MG1363 ncam_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adprib_c']
DHAPT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 dha_c'] 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 dhap_c']
FBP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 fdp_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 f6p_c']
RPI 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 xu5p_D_c']
DHQD 	['Lactococcus_lactis_MG1363 3dhq_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 3dhsk_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
GAPD 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
PSCVT 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c'] 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TKT1 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c']
HCO3E 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 co2_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 hco3_c']


8
DHQS 	['Lactococcus_lactis_MG1363 2dda7p_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 3dhq_c']
DAHPS 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 2dda7p_c']
FBA 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 fdp_c']
SHK3D 	['Lactococcus_lactis_MG1363 nadph_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 3dhsk_c'] 	['Lactococcus_lactis_MG1363 nadp_c', 'Lactococcus_lactis_MG1363 skm_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
ALKP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 dhap_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 dha_c']
PSCVT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c'] 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c']
GAPD 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c']
PGK 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 adp_c'] 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 3pg_c']
TKT2 	['Lactococcus_lactis_MG1363 f6p_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c']
SHKK 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 skm_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TPI 	['Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 dhap_c']
NADN 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 nad_c'] 	['Lactococcus_lactis_MG1363 ncam_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adprib_c']
DHAPT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 dha_c'] 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 dhap_c']
FBP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 fdp_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 f6p_c']
RPI 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 xu5p_D_c']
FBA 	['Lactococcus_lactis_MG1363 fdp_c'] 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c']
DHQD 	['Lactococcus_lactis_MG1363 3dhq_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 3dhsk_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
PSCVT 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c'] 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TKT1 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c']
HCO3E 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 co2_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 hco3_c']


9
DHQS 	['Lactococcus_lactis_MG1363 2dda7p_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 3dhq_c']
DAHPS 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 2dda7p_c']
GLCpts 	['Lactococcus_lactis_MG1363 glc_D_e', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 g6p_c', 'Lactococcus_lactis_MG1363 pyr_c']
FBA 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 fdp_c']
SHK3D 	['Lactococcus_lactis_MG1363 nadph_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 3dhsk_c'] 	['Lactococcus_lactis_MG1363 nadp_c', 'Lactococcus_lactis_MG1363 skm_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
PSCVT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c'] 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c']
GAPD 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c']
PGK 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 adp_c'] 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 3pg_c']
TKT2 	['Lactococcus_lactis_MG1363 f6p_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c']
SHKK 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 skm_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TPI 	['Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 dhap_c']
NADN 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 nad_c'] 	['Lactococcus_lactis_MG1363 ncam_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adprib_c']
FBP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 fdp_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 f6p_c']
RPI 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 xu5p_D_c']
RPI 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 r5p_c']
DHQD 	['Lactococcus_lactis_MG1363 3dhq_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 3dhsk_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
glc_D_e 	['glc_D_e'] 	['Lactococcus_lactis_MG1363 glc_D_e']
PSCVT 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c'] 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TKT1 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c']
HCO3E 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 co2_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 hco3_c']


10
DHQS 	['Lactococcus_lactis_MG1363 2dda7p_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 3dhq_c']
DAHPS 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 2dda7p_c']
GLCpts 	['Lactococcus_lactis_MG1363 glc_D_e', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 g6p_c', 'Lactococcus_lactis_MG1363 pyr_c']
FBA 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 fdp_c']
SHK3D 	['Lactococcus_lactis_MG1363 nadph_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 3dhsk_c'] 	['Lactococcus_lactis_MG1363 nadp_c', 'Lactococcus_lactis_MG1363 skm_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
PSCVT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c'] 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c']
GAPD 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c']
PGK 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 adp_c'] 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 3pg_c']
TKT2 	['Lactococcus_lactis_MG1363 f6p_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c']
SHKK 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 skm_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TPI 	['Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 dhap_c']
NADN 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 nad_c'] 	['Lactococcus_lactis_MG1363 ncam_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adprib_c']
FBP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 fdp_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 f6p_c']
RPI 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 xu5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
DHQD 	['Lactococcus_lactis_MG1363 3dhq_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 3dhsk_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
glc_D_e 	['glc_D_e'] 	['Lactococcus_lactis_MG1363 glc_D_e']
PSCVT 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c'] 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TKT1 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c']
HCO3E 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 co2_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 hco3_c']


11
DHQS 	['Lactococcus_lactis_MG1363 2dda7p_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 3dhq_c']
DAHPS 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 2dda7p_c']
GLCpts 	['Lactococcus_lactis_MG1363 glc_D_e', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 g6p_c', 'Lactococcus_lactis_MG1363 pyr_c']
FBA 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 fdp_c']
SHK3D 	['Lactococcus_lactis_MG1363 nadph_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 3dhsk_c'] 	['Lactococcus_lactis_MG1363 nadp_c', 'Lactococcus_lactis_MG1363 skm_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
PSCVT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c'] 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c']
GAPD 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c']
PGK 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 adp_c'] 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 3pg_c']
TKT1 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c']
TKT2 	['Lactococcus_lactis_MG1363 f6p_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c']
SHKK 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 skm_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TPI 	['Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 dhap_c']
NADN 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 nad_c'] 	['Lactococcus_lactis_MG1363 ncam_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adprib_c']
FBP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 fdp_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 f6p_c']
RPI 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 xu5p_D_c']
DHQD 	['Lactococcus_lactis_MG1363 3dhq_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 3dhsk_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
glc_D_e 	['glc_D_e'] 	['Lactococcus_lactis_MG1363 glc_D_e']
PSCVT 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c'] 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c']
TKT1 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 xu5p_D_c'] 	['Lactococcus_lactis_MG1363 g3p_c', 'Lactococcus_lactis_MG1363 s7p_c']
HCO3E 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 co2_c'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 hco3_c']


12
DHQS 	['Lactococcus_lactis_MG1363 2dda7p_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 3dhq_c']
DAHPS 	['Lactococcus_lactis_MG1363 e4p_c', 'Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 2dda7p_c']
GLCpts 	['Lactococcus_lactis_MG1363 glc_D_e', 'Lactococcus_lactis_MG1363 pep_c'] 	['Lactococcus_lactis_MG1363 g6p_c', 'Lactococcus_lactis_MG1363 pyr_c']
FBA 	['Lactococcus_lactis_MG1363 dhap_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 fdp_c']
SHK3D 	['Lactococcus_lactis_MG1363 nadph_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 3dhsk_c'] 	['Lactococcus_lactis_MG1363 nadp_c', 'Lactococcus_lactis_MG1363 skm_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
PSCVT 	['Lactococcus_lactis_MG1363 pep_c', 'Lactococcus_lactis_MG1363 skm5p_c'] 	['Lactococcus_lactis_MG1363 3psme_c', 'Lactococcus_lactis_MG1363 pi_c']
